日期,事务,事务金额,余额,备注
2023/5/9,交宿舍费,180.0,180.5,人均30元
2023/5/9,交水费,-33.0,147.5,小平x2+小黄x1
2023/5/12,交水费,-11.0,136.5,小王x1
2023/5/15,交水费,-11.0,125.5,小王付钱
2023/5/18,交水费,-11.0,114.5,小平付钱
2023/5/21,交水费,-11.0,103.5,小王付钱
2023/5/23,交水费,-11.0,92.5,小王付钱
2023/5/25,交水费,-11.0,81.5,小王付钱
2023/5/28,交水费,-11.0,70.5,老高交钱
2023/6/2,交水费,-11.0,59.5,小王
2023/6/4,交水费,-11.0,48.5,苏鹏付钱
2023/6/7,交水费,-11.0,37.5,启航付钱
2023/6/10,交水费,-11.0,26.5,苏鹏付钱
2023/6/13,交水费,-11.0,15.5,启航付钱
2023/6/16,交水费,-11.0,4.5,小王付钱
2023/6/19,交水费,-11.0,-6.5,小王付钱
2023/6/23,交水费,-11.0,-17.5,小黄付钱
2023/6/24,宿舍缴费,66.0,48.5,全员参与
2023/6/26,交水费,-11.0,37.5,小黄付钱
2023/6/28,交水费,-11.0,26.5,小黄付钱
2023/6/29,交水费,-11.0,15.5,小王付钱
2023/7/2,交水费,-11.0,4.5,小王付钱
2023/7/5,交水费,-11.0,-6.5,启航付钱，9号转账
2023/5/9,交宿舍费,180.0,180.5,人均30元
2023/5/9,交水费,-33.0,147.5,小平x2+小黄x1
2023/5/12,交水费,-11.0,136.5,小王x1
2023/5/15,交水费,-11.0,125.5,小王付钱
2023/5/18,交水费,-11.0,114.5,小平付钱
2023/5/21,交水费,-11.0,103.5,小王付钱
2023/5/23,交水费,-11.0,92.5,小王付钱
2023/5/25,交水费,-11.0,81.5,小王付钱
2023/5/28,交水费,-11.0,70.5,老高交钱
2023/6/2,交水费,-11.0,59.5,小王
2023/6/4,交水费,-11.0,48.5,苏鹏付钱
2023/6/7,交水费,-11.0,37.5,启航付钱
2023/6/10,交水费,-11.0,26.5,苏鹏付钱
2023/6/13,交水费,-11.0,15.5,启航付钱
2023/6/16,交水费,-11.0,4.5,小王付钱
2023/6/19,交水费,-11.0,-6.5,小王付钱
2023/6/23,交水费,-11.0,-17.5,小黄付钱
2023/6/24,宿舍缴费,66.0,48.5,全员参与
2023/6/26,交水费,-11.0,37.5,小黄付钱
2023/6/28,交水费,-11.0,26.5,小黄付钱
2023/6/29,交水费,-11.0,15.5,小王付钱
2023/7/2,交水费,-11.0,4.5,小王付钱
2023/7/5,交水费,-11.0,-6.5,启航付钱，9号转账
2023/07/09,充宿舍费,100.0,93.5,全员参与
